supplier_name,supplier_address,email,contact_number,fax,account_number,order_history,contract,supplier_country,supplier_city,country_code
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,468,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,61,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,88,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,353,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,547,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,170,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,393,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,243,Yes,UK,London,+44
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,601,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,566,No,Germany,Berlin,+49
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,489,No,Germany,Berlin,+49
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,99,Yes,USA,New York,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,563,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,196,No,Canada,Toronto,+1
Supplier C,789 Oak St,supplierC@example.com,3456789012,2987654319,33334444,18,Yes,UK,London,+44
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,328,No,Canada,Toronto,+1
Supplier A,123 Main St,supplierA@example.com,1234567890,0987654321,11112222,667,Yes,USA,New York,+1
Supplier D,321 Pine St,supplierD@example.com,4567890123,3987654318,44445555,376,No,Germany,Berlin,+49
Supplier B,456 Maple Ave,supplierB@example.com,2345678901,1987654320,22223333,449,No,Canada,Toronto,+1
